utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2019.664551,-0.081700,0.145100,20.636300,-0.063089,-0.000290,1278.027770,1370.689535,2019-09-01
2019.667358,-0.082100,0.146900,20.401800,-0.063526,-0.000290,1278.022404,1370.683837,2019-09-02
2019.670044,-0.084700,0.147600,20.176700,-0.063977,-0.000290,1278.017451,1370.678379,2019-09-03
2019.672852,-0.086200,0.150900,19.922200,-0.064401,-0.000290,1278.012469,1370.672666,2019-09-04
2019.675537,-0.087600,0.150600,19.721000,-0.064818,-0.000290,1278.007900,1370.667196,2019-09-05
2019.678345,-0.085100,0.150600,19.492700,-0.065245,-0.000290,1278.003332,1370.661465,2019-09-06
2019.681030,-0.084700,0.151800,19.273500,-0.065644,-0.000290,1277.999171,1370.655975,2019-09-07
2019.683716,-0.081900,0.152800,19.129300,-0.066051,-0.000290,1277.995218,1370.650472,2019-09-08
2019.686523,-0.078500,0.152800,19.011100,-0.066430,-0.000290,1277.991317,1370.644707,2019-09-09
2019.689209,-0.076000,0.154200,18.844200,-0.066814,-0.000290,1277.987811,1370.639177,2019-09-10
2019.692017,-0.072500,0.156300,18.490900,-0.067169,-0.000290,1277.984389,1370.633380,2019-09-11
2019.694702,-0.070600,0.157400,18.224800,-0.067512,-0.000290,1277.981356,1370.627819,2019-09-12
2019.697510,-0.074100,0.159100,18.012700,-0.067857,-0.000290,1277.978442,1370.621986,2019-09-13
2019.700195,-0.069900,0.160300,17.782200,-0.068173,-0.000290,1277.975908,1370.616388,2019-09-14
2019.702881,-0.069300,0.161700,17.570600,-0.068487,-0.000290,1277.973626,1370.610769,2019-09-15
2019.705688,-0.068900,0.162900,17.375600,-0.068783,-0.000290,1277.971518,1370.604874,2019-09-16
2019.708374,-0.072700,0.163500,17.184400,-0.069098,-0.000290,1277.969773,1370.599210,2019-09-17
2019.711182,-0.070500,0.165400,16.989300,-0.069403,-0.000290,1277.968233,1370.593267,2019-09-18
2019.713867,-0.066400,0.165900,16.737100,-0.069711,-0.000290,1277.967019,1370.587574,2019-09-19
2019.716675,-0.066000,0.168100,16.544000,-0.070034,-0.000290,1277.966002,1370.581623,2019-09-20
2019.719360,-0.066500,0.169800,16.280700,-0.070345,-0.000290,1277.965254,1370.575946,2019-09-21
2019.722046,-0.062500,0.171200,16.048800,-0.070669,-0.000290,1277.964709,1370.570293,2019-09-22
2019.724854,-0.061300,0.171300,15.825700,-0.070978,-0.000290,1277.964341,1370.564422,2019-09-23
2019.727539,-0.059300,0.172700,15.610000,-0.071298,-0.000290,1277.964164,1370.558858,2019-09-24
2019.730347,-0.058000,0.176300,15.316700,-0.071602,-0.000290,1277.964145,1370.553105,2019-09-25
2019.733032,-0.058300,0.177200,15.104400,-0.071901,-0.000290,1277.964269,1370.547677,2019-09-26
2019.735840,-0.053300,0.177400,14.903400,-0.072208,-0.000290,1277.964529,1370.542091,2019-09-27
2019.738525,-0.051300,0.177900,14.513300,-0.072495,-0.000290,1277.964887,1370.536848,2019-09-28
